区名,町名,ふりがな
葵区,相生町,あいおいちょう
葵区,相淵,あいぶち
葵区,相俣,あいまた
葵区,葵町,あおいちょう
葵区,赤沢,あかざわ
葵区,赤松,あかまつ
葵区,秋山町,あきやまちょう
葵区,上土一丁目,あげつち1
葵区,上土二丁目,あげつち2
葵区,上土新田,あげつちしんでん
葵区,あさはた一丁目,あさはた1
葵区,あさはた二丁目,あさはた2
葵区,足久保奥組,あしくぼおくぐみ
葵区,足久保口組,あしくぼくちぐみ
葵区,東町,あずまちょう
葵区,安倍口新田,あべぐちしんでん
葵区,安倍口団地,あべぐちだんち
葵区,安倍町,あべちょう
葵区,有永,ありなが
葵区,有永町,ありながちょう
葵区,安西一丁目,あんざい1
葵区,安西二丁目,あんざい2
葵区,安西三丁目,あんざい3
葵区,安西四丁目,あんざい4
葵区,安西五丁目,あんざい5
葵区,安東一丁目,あんどう1
葵区,安東二丁目,あんどう2
葵区,安東三丁目,あんどう3
葵区,安東柳町,あんどうやなぎちょう
葵区,井川,いかわ
葵区,池ケ谷,いけがや
葵区,池ケ谷東,いけがやひがし
葵区,一番町,いちばんちょう
葵区,井宮町,いのみやちょう
葵区,伊呂波町,いろはちょう
葵区,岩崎,いわさき
葵区,牛田,うしだ
葵区,牛妻,うしづま
葵区,内牧,うちまき
葵区,有東木,うとうぎ
葵区,産女,うぶめ
葵区,梅ケ島,うめがしま
葵区,梅屋町,うめやちょう
葵区,漆山,うるしやま
葵区,遠藤新田,えんどうしんでん
葵区,追手町,おうてまち
葵区,大岩,おおいわ
葵区,大岩一丁目,おおいわ1
葵区,大岩二丁目,おおいわ2
葵区,大岩三丁目,おおいわ3
葵区,大岩四丁目,おおいわ4
葵区,大岩町,おおいわちょう
葵区,大岩本町,おおいわほんちょう
葵区,大岩宮下町,おおいわみやしたちょう
葵区,大鋸町,おおがまち
葵区,大沢,おおさわ
葵区,太田町,おおたまち
葵区,大原,おおはら
葵区,大間,おおま
葵区,奥池ケ谷,おくいけがや
葵区,奥仙俣,おくせんまた
葵区,落合,おちあい
葵区,音羽町,おとわちょう
葵区,鍵穴,かぎあな
葵区,柿島,かきしま
葵区,籠上,かごうえ
葵区,春日一丁目,かすが1
葵区,春日二丁目,かすが2
葵区,春日三丁目,かすが3
葵区,春日町,かすがちょう
葵区,片羽町,かたはちょう
葵区,加藤島,かとうじま
葵区,門屋,かどや
葵区,上足洗,かみあしあらい
葵区,上足洗一丁目,かみあしあらい1
葵区,上足洗二丁目,かみあしあらい2
葵区,上足洗三丁目,かみあしあらい3
葵区,上足洗四丁目,かみあしあらい4
葵区,上桶屋町,かみおけやちょう
葵区,上落合,かみおちあい
葵区,上沓谷町,かみくつのやちょう
葵区,上石町,かみごくちょう
葵区,上坂本,かみさかもと
葵区,上新富町,かみしんとみちょう
葵区,上伝馬,かみてんま
葵区,桂山,かやま
葵区,唐瀬一丁目,からせ1
葵区,唐瀬二丁目,からせ2
葵区,唐瀬三丁目,からせ3
葵区,川合,かわい
葵区,川合一丁目,かわい1
葵区,川合二丁目,かわい2
葵区,川合三丁目,かわい3
葵区,川越町,かわごしちょう
葵区,川辺町一丁目,かわなべちょう1
葵区,川辺町二丁目,かわなべちょう2
葵区,瓦場町,かわらばちょう
葵区,観山,かんざん
葵区,北,きた
葵区,北一丁目,きた1
葵区,北二丁目,きた2
葵区,北三丁目,きた3
葵区,北四丁目,きた4
葵区,北五丁目,きた5
葵区,北安東一丁目,きたあんどう1
葵区,北安東二丁目,きたあんどう2
葵区,北安東三丁目,きたあんどう3
葵区,北安東四丁目,きたあんどう4
葵区,北安東五丁目,きたあんどう5
葵区,北沼上,きたぬまがみ
葵区,北番町,きたばんちょう
葵区,金座町,きんざまち
葵区,崩野,くずれの
葵区,口坂本,くちさかもと
葵区,口仙俣,くちせんまた
葵区,沓谷,くつのや
葵区,沓谷一丁目,くつのや1
葵区,沓谷二丁目,くつのや2
葵区,沓谷三丁目,くつのや3
葵区,沓谷四丁目,くつのや4
葵区,沓谷五丁目,くつのや5
葵区,沓谷六丁目,くつのや6
葵区,車町,くるまちょう
葵区,黒金町,くろがねちょう
葵区,黒俣,くろまた
葵区,幸庵新田,こうあんしんでん
葵区,郷島,ごうじま
葵区,紺屋町,こうやまち
葵区,小河内,こごうち
葵区,腰越,こしごえ
葵区,小島,こじま
葵区,小瀬戸,こぜと
葵区,五番町,ごばんちょう
葵区,呉服町一丁目,ごふくちょう1
葵区,呉服町二丁目,ごふくちょう2
葵区,小布杉,こぶすぎ
葵区,駒形通一丁目,こまがたどおり1
葵区,駒形通二丁目,こまがたどおり2
葵区,駒形通三丁目,こまがたどおり3
葵区,駒形通四丁目,こまがたどおり4
葵区,駒形通五丁目,こまがたどおり5
葵区,駒形通六丁目,こまがたどおり6
葵区,材木町,ざいもくちょう
